word,up_count,down_count,total,up1,down1,p_score,polarity
불/NNG,68.0,30.0,98.0,69.0,31.0,1.45309597535399,Hawikish
사들이/VV,43.0,49.0,92.0,44.0,50.0,0.5744993943138674,Dovish
봐도/VV,18.0,18.0,36.0,19.0,19.0,0.6528402208112128,Dovish
기간산업/NNG,10.0,17.0,27.0,11.0,18.0,0.3989579127179635,Dovish
꼽혔/VV,13.0,16.0,29.0,14.0,17.0,0.537633123020999,Dovish
사업경쟁력/NNG,54.0,19.0,73.0,55.0,20.0,1.7953106072308354,Hawikish
a+등급/NNG,37.0,55.0,92.0,38.0,56.0,0.44299872126475165,Dovish
딱히/MAG,13.0,12.0,25.0,14.0,13.0,0.7030586993351524,Dovish
락하/NNG,26.0,12.0,38.0,27.0,13.0,1.3558989201463654,Hawikish
뮤추얼펀드/NNG,40.0,18.0,58.0,41.0,19.0,1.408760476487354,Hawikish
생태계/NNG,33.0,14.0,47.0,34.0,15.0,1.4797711671720828,Hawikish
경력/NNG,8.0,9.0,17.0,9.0,10.0,0.5875561987300916,Dovish
단호/NNG,24.0,10.0,34.0,25.0,11.0,1.4837277745709385,Hawikish
물가/NNG;상승률/NNG;농산물/NNG;가격/NNG;상승/NNG,9.0,9.0,18.0,10.0,10.0,0.6528402208112128,Dovish
조직/NNG,23.0,35.0,58.0,24.0,36.0,0.43522681387414197,Dovish
립/NNG,16.0,16.0,32.0,17.0,17.0,0.652840220811213,Dovish
제치/NNG,10.0,10.0,20.0,11.0,11.0,0.652840220811213,Dovish
하이퍼인플레이션/NNG,5.0,10.0,15.0,6.0,11.0,0.3560946658970252,Dovish
반군/NNG,7.0,11.0,18.0,8.0,12.0,0.43522681387414197,Dovish
안전자산/NNG;선호/NNG;경향/NNG;강화/NNG,7.0,9.0,16.0,8.0,10.0,0.5222721766489703,Dovish
거래처/NNG,10.0,12.0,22.0,11.0,13.0,0.552403263763334,Dovish
성숙/NNG,11.0,11.0,22.0,12.0,12.0,0.6528402208112128,Dovish
예상/NNG;견조/NNG,50.0,20.0,70.0,51.0,21.0,1.585469107684374,Hawikish
확고/NNG,29.0,28.0,57.0,30.0,29.0,0.6753519525633238,Dovish
중금채/NNG,21.0,46.0,67.0,22.0,47.0,0.3055847842095039,Dovish
기능/NNG,120.0,113.0,233.0,121.0,114.0,0.6929269010364628,Dovish
하락/NNG;효과/NNG,19.0,18.0,37.0,20.0,19.0,0.6872002324328557,Dovish
인정받/VV,15.0,13.0,28.0,16.0,14.0,0.7461031094985291,Dovish
실증분석/NNG,11.0,13.0,24.0,12.0,14.0,0.5595773321238967,Dovish
그래프/NNG,29.0,31.0,60.0,30.0,32.0,0.6120377070105122,Dovish
가스/NNG,174.0,80.0,254.0,175.0,81.0,1.4104572671847193,Hawikish
상승률/NNG;낮/VA,36.0,10.0,46.0,37.0,11.0,2.195917106364989,Hawikish
모티브/NNG,26.0,7.0,33.0,27.0,8.0,2.2033357452378435,Hawikish
됐으며/XSV,17.0,15.0,32.0,18.0,16.0,0.7344452484126146,Dovish
원론/NNG,31.0,33.0,64.0,32.0,34.0,0.6144378548811417,Dovish
주자/NNG,22.0,7.0,29.0,23.0,8.0,1.8769156348322373,Hawikish
정시/NNG,13.0,5.0,18.0,14.0,6.0,1.523293848559497,Hawikish
긴축/NNG;강화/NNG,41.0,14.0,55.0,42.0,15.0,1.8279526182713963,Hawikish
불안/NNG;완화/NNG,24.0,29.0,53.0,25.0,30.0,0.5440335173426775,Dovish
담배가격/NNG,6.0,9.0,15.0,7.0,10.0,0.456988154567849,Dovish
선진국/NNG;통화/NNG;긴축/NNG,9.0,8.0,17.0,10.0,9.0,0.7253780231235699,Dovish
곧바로/MAG,17.0,19.0,36.0,18.0,20.0,0.5875561987300916,Dovish
치마/NNG,4.0,16.0,20.0,5.0,17.0,0.19201182965035674,Dovish
순기능/NNG,3.0,14.0,17.0,4.0,15.0,0.1740907255496568,Dovish
소비자/NNG;물가/NNG;상승률/NNG;점차/MAG;낮/VA,7.0,11.0,18.0,8.0,12.0,0.43522681387414197,Dovish
상담/NNG,12.0,3.0,15.0,13.0,4.0,2.121730717636442,Hawikish
후행/NNG,122.0,56.0,178.0,123.0,57.0,1.4087604764873543,Hawikish
