word,up_count,down_count,total,up1,down1,p_score,polarity
ㄴ/NNG,17.0,7.0,24.0,18.0,8.0,1.4688904968252292,Hawikish
북클로징/NNG,42.0,16.0,58.0,43.0,17.0,1.651301734993068,Hawikish
가상/NNG,75.0,86.0,161.0,76.0,87.0,0.5702972043868066,Dovish
짓/VV,36.0,14.0,50.0,37.0,15.0,1.6103392113343253,Hawikish
자산/NNG;증가/NNG,17.0,6.0,23.0,18.0,7.0,1.6787319963716905,Hawikish
차입/NNG;부담/NNG;확대/NNG,16.0,16.0,32.0,17.0,17.0,0.652840220811213,Dovish
고용/NNG;부진/NNG,21.0,23.0,44.0,22.0,24.0,0.5984368690769452,Dovish
중고/NNG,9.0,13.0,22.0,10.0,14.0,0.46631444343658063,Dovish
손실/NNG;부담/NNG,16.0,4.0,20.0,17.0,5.0,2.2196567507581237,Hawikish
재난/NNG,33.0,30.0,63.0,34.0,31.0,0.7160183066961691,Dovish
일환/NNG,33.0,29.0,62.0,34.0,30.0,0.7398855835860414,Dovish
입법/NNG,16.0,20.0,36.0,17.0,21.0,0.528489702561458,Dovish
과식/NNG,4.0,17.0,21.0,5.0,18.0,0.18134450578089248,Dovish
원제/NNG,44.0,14.0,58.0,45.0,15.0,1.9585206624336389,Hawikish
딜레마/NNG,29.0,10.0,39.0,30.0,11.0,1.780473329485126,Hawikish
치였/VV,13.0,5.0,18.0,14.0,6.0,1.523293848559497,Hawikish
회복/NNG;약화/NNG,19.0,7.0,26.0,20.0,8.0,1.6321005520280323,Hawikish
롤오버/NNG,21.0,18.0,39.0,22.0,19.0,0.7559202556761413,Dovish
지적재산권/NNG,66.0,61.0,127.0,67.0,62.0,0.7054886257153431,Dovish
워낙/MAG,39.0,35.0,74.0,40.0,36.0,0.7253780231235699,Dovish
유용/NNG,48.0,53.0,101.0,49.0,54.0,0.5923920522175822,Dovish
역사/NNG,49.0,45.0,94.0,50.0,46.0,0.7096089356643619,Dovish
증폭/NNG,68.0,65.0,133.0,69.0,66.0,0.6825147763026317,Dovish
건의/NNG,14.0,5.0,19.0,15.0,6.0,1.6321005520280323,Hawikish
신용등급/NNG;전망/NNG;하향/NNG,24.0,9.0,33.0,25.0,10.0,1.6321005520280323,Hawikish
설치/NNG,54.0,25.0,79.0,55.0,26.0,1.381008159408335,Hawikish
난이도/NNG,29.0,11.0,40.0,30.0,12.0,1.6321005520280323,Hawikish
소나/NNG,7.0,11.0,18.0,8.0,12.0,0.43522681387414197,Dovish
본다면/VV,20.0,18.0,38.0,21.0,19.0,0.7215602440544985,Dovish
우려/NNG;확대/NNG,58.0,27.0,85.0,59.0,28.0,1.375627608137913,Hawikish
알씨/NNG,18.0,7.0,25.0,19.0,8.0,1.5504955244266307,Hawikish
양쪽/NNG,13.0,5.0,18.0,14.0,6.0,1.523293848559497,Hawikish
링/NNG,13.0,13.0,26.0,14.0,14.0,0.652840220811213,Dovish
회귀/NNG,90.0,42.0,132.0,91.0,43.0,1.3815920952051248,Hawikish
엑스/NNG,37.0,4.0,41.0,38.0,5.0,4.961585678165218,Hawikish
프랑/NNG,9.0,17.0,26.0,10.0,18.0,0.36268901156178496,Dovish
알린다/VV,4.0,18.0,22.0,5.0,19.0,0.17180005810821392,Dovish
부동산/NNG;우려/NNG,19.0,6.0,25.0,20.0,7.0,1.8652577737463225,Hawikish
금융정책/NNG,33.0,41.0,74.0,34.0,42.0,0.528489702561458,Dovish
긴장/NNG,248.0,111.0,359.0,249.0,112.0,1.4514037051963573,Hawikish
금융자산/NNG,61.0,57.0,118.0,62.0,58.0,0.6978636843154344,Dovish
놓치/VV,32.0,11.0,43.0,33.0,12.0,1.7953106072308354,Hawikish
계절조정/NNG,100.0,45.0,145.0,101.0,46.0,1.433410050042011,Hawikish
황과/NNG,10.0,15.0,25.0,11.0,16.0,0.44882765180770895,Dovish
갱신/NNG,39.0,16.0,55.0,40.0,17.0,1.5360946372028539,Hawikish
불확실성/NNG;해소/NNG,38.0,44.0,82.0,39.0,45.0,0.5657948580363845,Dovish
테일리스크/NNG,11.0,20.0,31.0,12.0,21.0,0.3730515547492645,Dovish
친구/NNG,8.0,7.0,15.0,9.0,8.0,0.7344452484126146,Dovish
비관론/NNG,12.0,13.0,25.0,13.0,14.0,0.6062087764675549,Dovish
연체액/NNG,7.0,9.0,16.0,8.0,10.0,0.5222721766489703,Dovish
처하/VV,8.0,15.0,23.0,9.0,16.0,0.3672226242063073,Dovish
리얼/NNG,10.0,12.0,22.0,11.0,13.0,0.552403263763334,Dovish
악몽/NNG,13.0,2.0,15.0,14.0,3.0,3.046587697118994,Hawikish
bbb-등급/NNG,94.0,82.0,176.0,95.0,83.0,0.747226758759822,Dovish
높/VA;대외/NNG;불확실성/NNG,11.0,5.0,16.0,12.0,6.0,1.3056804416224257,Hawikish
격상/NNG,13.0,6.0,19.0,14.0,7.0,1.305680441622426,Hawikish
세밀히/MAG,9.0,8.0,17.0,10.0,9.0,0.7253780231235699,Dovish
전이/NNG,98.0,86.0,184.0,99.0,87.0,0.742887147819656,Dovish
균열/NNG,25.0,9.0,34.0,26.0,10.0,1.6973845741091536,Hawikish
디플레이션/NNG;우려/NNG,5.0,12.0,17.0,6.0,13.0,0.3013108711436367,Dovish
착한/VA,11.0,4.0,15.0,12.0,5.0,1.5668165299469108,Hawikish
재미있/VA,16.0,6.0,22.0,17.0,7.0,1.5854691076843743,Hawikish
음/NNG,37.0,12.0,49.0,38.0,13.0,1.9083021839096992,Hawikish
채용계획/NNG,12.0,3.0,15.0,13.0,4.0,2.121730717636442,Hawikish
센/NNG,24.0,36.0,60.0,25.0,37.0,0.4411082573048736,Dovish
낙인효과/NNG,5.0,10.0,15.0,6.0,11.0,0.3560946658970252,Dovish
잇단/VV,18.0,21.0,39.0,19.0,22.0,0.5638165543369565,Dovish
범죄/NNG,13.0,6.0,19.0,14.0,7.0,1.305680441622426,Hawikish
뛰/VV,110.0,41.0,151.0,111.0,42.0,1.7253634407153484,Hawikish
제약요인/NNG,52.0,59.0,111.0,53.0,60.0,0.5766755283832381,Dovish
동성/NNG,27.0,24.0,51.0,28.0,25.0,0.7311810473085585,Dovish
착공/NNG,161.0,75.0,236.0,162.0,76.0,1.3915804706765327,Hawikish
대의/NNG,16.0,6.0,22.0,17.0,7.0,1.5854691076843743,Hawikish
경수/NNG,15.0,6.0,21.0,16.0,7.0,1.4922062189970582,Hawikish
막연/NNG,7.0,10.0,17.0,8.0,11.0,0.4747928878627003,Dovish
팩트/NNG,17.0,7.0,24.0,18.0,8.0,1.4688904968252292,Hawikish
상점/NNG,14.0,3.0,17.0,15.0,4.0,2.4481508280420488,Hawikish
딛/VV,11.0,11.0,22.0,12.0,12.0,0.6528402208112128,Dovish
기대/NNG;충족/NNG,11.0,4.0,15.0,12.0,5.0,1.5668165299469108,Hawikish
대조표/NNG,12.0,11.0,23.0,13.0,12.0,0.7072435725454808,Dovish
세계/NNG;경기/NNG;회복/NNG,10.0,10.0,20.0,11.0,11.0,0.652840220811213,Dovish
외부충격/NNG,24.0,33.0,57.0,25.0,34.0,0.48002957412589187,Dovish
후인/NNG,6.0,9.0,15.0,7.0,10.0,0.456988154567849,Dovish
번지/VV,19.0,18.0,37.0,20.0,19.0,0.6872002324328557,Dovish
가라앉/VV,23.0,7.0,30.0,24.0,8.0,1.9585206624336386,Hawikish
후폭풍/NNG,16.0,7.0,23.0,17.0,8.0,1.3872854692238274,Hawikish
높/VA;금리/NNG;상승/NNG,11.0,10.0,21.0,12.0,11.0,0.7121893317940504,Dovish
변환/NNG,14.0,27.0,41.0,15.0,28.0,0.3497358325774355,Dovish
잠정치/NNG,97.0,47.0,144.0,98.0,48.0,1.3328821174895598,Hawikish
경기/NNG;안정/NNG,11.0,13.0,24.0,12.0,14.0,0.5595773321238967,Dovish
나타난다고/VV,11.0,15.0,26.0,12.0,16.0,0.48963016560840966,Dovish
외수/NNG,7.0,18.0,25.0,8.0,19.0,0.27488009297314225,Dovish
부적합/NNG,17.0,23.0,40.0,18.0,24.0,0.48963016560840966,Dovish
낙찰률/NNG,15.0,13.0,28.0,16.0,14.0,0.7461031094985291,Dovish
김국/NNG,8.0,12.0,20.0,9.0,13.0,0.45196630671545507,Dovish
금리/NNG;플러스/NNG,14.0,13.0,27.0,15.0,14.0,0.699471665154871,Dovish
대부/NNG,39.0,34.0,73.0,40.0,35.0,0.7461031094985291,Dovish
정식/NNG,19.0,4.0,23.0,20.0,5.0,2.6113608832448514,Hawikish
ftse/NNG,45.0,18.0,63.0,46.0,19.0,1.580560534595568,Hawikish
예정일/NNG,11.0,5.0,16.0,12.0,6.0,1.3056804416224257,Hawikish
알아보/VV,6.0,10.0,16.0,7.0,11.0,0.4154437768798628,Dovish
엘에스아이/NNG,9.0,33.0,42.0,10.0,34.0,0.19201182965035674,Dovish
매입자산/NNG,8.0,12.0,20.0,9.0,13.0,0.45196630671545507,Dovish
택하/VV,10.0,14.0,24.0,11.0,15.0,0.4787494952615562,Dovish
신원/NNG,77.0,70.0,147.0,78.0,71.0,0.717204749623586,Dovish
금융시장/NNG;변동성/NNG;완화/NNG,1.0,18.0,19.0,2.0,19.0,0.06872002324328556,Dovish
월부/NNG,22.0,5.0,27.0,23.0,6.0,2.5025541797763164,Hawikish
리가/NNG,55.0,54.0,109.0,56.0,55.0,0.6647100430077805,Dovish
획기/NNG,9.0,9.0,18.0,10.0,10.0,0.6528402208112128,Dovish
재정상황/NNG,16.0,16.0,32.0,17.0,17.0,0.652840220811213,Dovish
바작/NNG,18.0,7.0,25.0,19.0,8.0,1.5504955244266307,Hawikish
위탁/NNG,27.0,11.0,38.0,28.0,12.0,1.523293848559497,Hawikish
책임자/NNG,45.0,20.0,65.0,46.0,21.0,1.4300309598721808,Hawikish
경기/NNG;하방/NNG;위험/NNG,26.0,12.0,38.0,27.0,13.0,1.3558989201463654,Hawikish
랜딩/NNG,8.0,10.0,18.0,9.0,11.0,0.5341419988455378,Dovish
보우/NNG,8.0,15.0,23.0,9.0,16.0,0.3672226242063073,Dovish
안보/NNG,44.0,14.0,58.0,45.0,15.0,1.9585206624336389,Hawikish
전진/NNG,8.0,17.0,25.0,9.0,18.0,0.3264201104056065,Dovish
따라갈/VV,17.0,7.0,24.0,18.0,8.0,1.4688904968252292,Hawikish
식음료/NNG,16.0,5.0,21.0,17.0,6.0,1.8497139589651033,Hawikish
무방/NNG,7.0,12.0,19.0,8.0,13.0,0.40174782819151567,Dovish
정책과제/NNG,9.0,21.0,30.0,10.0,22.0,0.2967455549141877,Dovish
초과분/NNG,11.0,10.0,21.0,12.0,11.0,0.7121893317940504,Dovish
근원/NNG;물가/NNG;상승/NNG,24.0,10.0,34.0,25.0,11.0,1.4837277745709385,Hawikish
내외/NNG;금리갭/NNG;확대/NNG,26.0,11.0,37.0,27.0,12.0,1.468890496825229,Hawikish
자금사정/NNG,64.0,64.0,128.0,65.0,65.0,0.6528402208112128,Dovish
독점/NNG,19.0,8.0,27.0,20.0,9.0,1.4507560462471398,Hawikish
친화/NNG,29.0,26.0,55.0,30.0,27.0,0.7253780231235699,Dovish
출석/NNG,8.0,18.0,26.0,9.0,19.0,0.309240104594785,Dovish
지주회사/NNG,47.0,44.0,91.0,48.0,45.0,0.6963629021986271,Dovish
부정적/VAX;효과/NNG,26.0,23.0,49.0,27.0,24.0,0.7344452484126145,Dovish
치를/XSV,54.0,22.0,76.0,55.0,23.0,1.561139658461596,Hawikish
입수/NNG,43.0,42.0,85.0,44.0,43.0,0.6680225515277528,Dovish
외화/NNG,95.0,85.0,180.0,96.0,86.0,0.728751874393912,Dovish
전기차/NNG,107.0,48.0,155.0,108.0,49.0,1.438913139747163,Hawikish
발굴/NNG,37.0,36.0,73.0,38.0,37.0,0.6704845511034078,Dovish
제제/NNG,8.0,8.0,16.0,9.0,9.0,0.652840220811213,Dovish
안건/NNG,27.0,8.0,35.0,28.0,9.0,2.031058464745996,Hawikish
대북/NNG,16.0,1.0,17.0,17.0,2.0,5.54914187689531,Hawikish
교사/NNG,11.0,5.0,16.0,12.0,6.0,1.3056804416224257,Hawikish
부연/NNG,55.0,22.0,77.0,56.0,23.0,1.5895240158881707,Hawikish
대림/NNG,4.0,12.0,16.0,5.0,13.0,0.2510923926196973,Dovish
소비/NNG;회복/NNG;더디/VA,14.0,3.0,17.0,15.0,4.0,2.4481508280420488,Hawikish
재고/NNG;증가/NNG,19.0,9.0,28.0,20.0,10.0,1.3056804416224257,Hawikish
경제/NNG;전망/NNG;불확실성/NNG,10.0,10.0,20.0,11.0,11.0,0.652840220811213,Dovish
직무/NNG,7.0,8.0,15.0,8.0,9.0,0.580302418498856,Dovish
미뤘/VV,17.0,2.0,19.0,18.0,3.0,3.9170413248672773,Hawikish
가격/NNG;상승/NNG;확대/NNG,53.0,15.0,68.0,54.0,16.0,2.2033357452378435,Hawikish
세계/NNG;경제/NNG;완만/NNG;회복/NNG,7.0,11.0,18.0,8.0,12.0,0.43522681387414197,Dovish
지극히/MAG,9.0,8.0,17.0,10.0,9.0,0.7253780231235699,Dovish
코픽스/NNG,30.0,12.0,42.0,31.0,13.0,1.556772834242123,Hawikish
물가/NNG;잡/VV,26.0,6.0,32.0,27.0,7.0,2.5180979945575355,Hawikish
금리/NNG;인상/NNG;확대/NNG,11.0,4.0,15.0,12.0,5.0,1.5668165299469108,Hawikish
감속/NNG,45.0,50.0,95.0,46.0,51.0,0.5888362775944274,Dovish
미세조정/NNG,22.0,9.0,31.0,23.0,10.0,1.5015325078657897,Hawikish
결부/NNG,10.0,10.0,20.0,11.0,11.0,0.652840220811213,Dovish
국채선물시장/NNG,17.0,22.0,39.0,18.0,23.0,0.5109184336783406,Dovish
합니다/XSV,20.0,6.0,26.0,21.0,7.0,1.9585206624336389,Hawikish
입국/NNG,9.0,14.0,23.0,10.0,15.0,0.43522681387414197,Dovish
바/NNG,24.0,22.0,46.0,25.0,23.0,0.7096089356643619,Dovish
파장/NNG,32.0,30.0,62.0,33.0,31.0,0.6949589447345169,Dovish
소형주/NNG,15.0,3.0,18.0,16.0,4.0,2.611360883244852,Hawikish
단기물/NNG;금리/NNG;상승/NNG,15.0,3.0,18.0,16.0,4.0,2.611360883244852,Hawikish
수요/NNG;감소/NNG,65.0,28.0,93.0,66.0,29.0,1.485774295639312,Hawikish
위험/NNG;감소/NNG,15.0,7.0,22.0,16.0,8.0,1.305680441622426,Hawikish
우려/NNG;지정학/NNG;위험/NNG,9.0,11.0,20.0,10.0,12.0,0.5440335173426774,Dovish
무상급식/NNG,11.0,5.0,16.0,12.0,6.0,1.3056804416224257,Hawikish
대결/NNG,14.0,3.0,17.0,15.0,4.0,2.4481508280420488,Hawikish
집단/NNG;대출/NNG;증가/NNG,7.0,8.0,15.0,8.0,9.0,0.580302418498856,Dovish
구조변화/NNG,35.0,42.0,77.0,36.0,43.0,0.546563905795434,Dovish
나눈/VV,28.0,12.0,40.0,29.0,13.0,1.456335877194244,Hawikish
성과/NNG,306.0,263.0,569.0,307.0,264.0,0.7591740446554636,Dovish
금리/NNG;상방/NNG,24.0,10.0,34.0,25.0,11.0,1.4837277745709385,Hawikish
금리/NNG;넘/VV,21.0,9.0,30.0,22.0,10.0,1.4362484857846685,Hawikish
환경지수/NNG,34.0,11.0,45.0,35.0,12.0,1.9041173106993712,Hawikish
업황/NNG;회복/NNG,9.0,8.0,17.0,10.0,9.0,0.7253780231235699,Dovish
선순위/NNG,140.0,124.0,264.0,141.0,125.0,0.7364037690750481,Dovish
커머스/NNG,18.0,5.0,23.0,19.0,6.0,2.067327365902174,Hawikish
달려/VV,20.0,19.0,39.0,21.0,20.0,0.6854822318517736,Dovish
실업률/NNG;최저/NNG,12.0,3.0,15.0,13.0,4.0,2.121730717636442,Hawikish
하락/NNG;압력/NNG,17.0,23.0,40.0,18.0,24.0,0.48963016560840966,Dovish
일러스트/NNG,98.0,28.0,126.0,99.0,29.0,2.228661443458968,Hawikish
엔저/NNG,48.0,49.0,97.0,49.0,50.0,0.6397834163949887,Dovish
부동산/NNG;거품/NNG,14.0,4.0,18.0,15.0,5.0,1.9585206624336386,Hawikish
디스인플레이션/NNG,181.0,165.0,346.0,182.0,166.0,0.7157645794436189,Dovish
재판매/NNG,265.0,121.0,386.0,266.0,122.0,1.4234057273424805,Hawikish
무역금융/NNG,6.0,11.0,17.0,7.0,12.0,0.3808234621398742,Dovish
사록/NNG,186.0,88.0,274.0,187.0,89.0,1.3716979920415373,Hawikish
식량/NNG,24.0,10.0,34.0,25.0,11.0,1.4837277745709385,Hawikish
듀레이션/NNG;짧/VA,14.0,4.0,18.0,15.0,5.0,1.9585206624336386,Hawikish
모형/NNG,40.0,40.0,80.0,41.0,41.0,0.6528402208112128,Dovish
실세/NNG,5.0,10.0,15.0,6.0,11.0,0.3560946658970252,Dovish
완연/NNG,9.0,17.0,26.0,10.0,18.0,0.36268901156178496,Dovish
배후/NNG,39.0,3.0,42.0,40.0,4.0,6.528402208112129,Hawikish
투자/NNG;부진/NNG,19.0,4.0,23.0,20.0,5.0,2.6113608832448514,Hawikish
따져/VV,8.0,19.0,27.0,9.0,20.0,0.2937780993650458,Dovish
하방/NNG;위험/NNG;높/VA,15.0,17.0,32.0,16.0,18.0,0.580302418498856,Dovish
산매/NNG,15.0,7.0,22.0,16.0,8.0,1.305680441622426,Hawikish
부채/NNG;확대/NNG,7.0,9.0,16.0,8.0,10.0,0.5222721766489703,Dovish
얇/VA,6.0,9.0,15.0,7.0,10.0,0.456988154567849,Dovish
고채/NNG,27.0,33.0,60.0,28.0,34.0,0.537633123020999,Dovish
자산/NNG;거품/NNG,12.0,3.0,15.0,13.0,4.0,2.121730717636442,Hawikish
검/NNG,39.0,38.0,77.0,40.0,39.0,0.669579713652526,Dovish
비용/NNG;상승/NNG,56.0,20.0,76.0,57.0,21.0,1.7719948850590064,Hawikish
실업/NNG,84.0,81.0,165.0,85.0,82.0,0.6767246191335744,Dovish
계경/NNG,13.0,17.0,30.0,14.0,18.0,0.507764616186499,Dovish
유례/NNG,5.0,10.0,15.0,6.0,11.0,0.3560946658970252,Dovish
이점/NNG,12.0,18.0,30.0,13.0,19.0,0.4466801510813562,Dovish
맡긴/VV,20.0,8.0,28.0,21.0,9.0,1.5232938485594971,Hawikish
식/VV,53.0,23.0,76.0,54.0,24.0,1.468890496825229,Hawikish
자원배분/NNG,19.0,20.0,39.0,20.0,21.0,0.6217525912487741,Dovish
캐피탈채/NNG,187.0,177.0,364.0,188.0,178.0,0.6895166377107192,Dovish
고스란히/MAG,13.0,6.0,19.0,14.0,7.0,1.305680441622426,Hawikish
채발/NNG,13.0,6.0,19.0,14.0,7.0,1.305680441622426,Hawikish
잊/VV,13.0,18.0,31.0,14.0,19.0,0.481040162702999,Dovish
침/NNG,21.0,34.0,55.0,22.0,35.0,0.410356710224191,Dovish
환매수/NNG,12.0,3.0,15.0,13.0,4.0,2.121730717636442,Hawikish
불황형/NNG,7.0,10.0,17.0,8.0,11.0,0.4747928878627003,Dovish
학습효과/NNG,20.0,9.0,29.0,21.0,10.0,1.3709644637035472,Hawikish
체크/NNG,22.0,9.0,31.0,23.0,10.0,1.5015325078657897,Hawikish
경제/NNG;경착륙/NNG,6.0,9.0,15.0,7.0,10.0,0.456988154567849,Dovish
고용률/NNG,26.0,31.0,57.0,27.0,32.0,0.5508339363094609,Dovish
재정/NNG;확대/NNG,27.0,25.0,52.0,28.0,26.0,0.7030586993351524,Dovish
유가/NNG;급등/NNG,15.0,6.0,21.0,16.0,7.0,1.4922062189970582,Hawikish
영수/NNG,17.0,16.0,33.0,18.0,17.0,0.6912425867412842,Dovish
선회/NNG,75.0,37.0,112.0,76.0,38.0,1.3056804416224257,Hawikish
밸런스/NNG,24.0,9.0,33.0,25.0,10.0,1.6321005520280323,Hawikish
꼽힌다/VV,62.0,28.0,90.0,63.0,29.0,1.41823910038298,Hawikish
월요/NNG,5.0,24.0,29.0,6.0,25.0,0.15668165299469108,Dovish
대출시/NNG,5.0,10.0,15.0,6.0,11.0,0.3560946658970252,Dovish
행동주의/NNG,23.0,9.0,32.0,24.0,10.0,1.5668165299469108,Hawikish
주총/NNG,18.0,7.0,25.0,19.0,8.0,1.5504955244266307,Hawikish
팅/MAG,18.0,8.0,26.0,19.0,9.0,1.378218243934783,Hawikish
복리/NNG,16.0,15.0,31.0,17.0,16.0,0.6936427346119137,Dovish
가계/NNG;대출/NNG;증가/NNG;둔화/NNG,13.0,14.0,27.0,14.0,15.0,0.6093175394237987,Dovish
상관계수/NNG,36.0,17.0,53.0,37.0,18.0,1.3419493427786044,Hawikish
뛰어들/VV,8.0,7.0,15.0,9.0,8.0,0.7344452484126146,Dovish
위태/NNG,11.0,4.0,15.0,12.0,5.0,1.5668165299469108,Hawikish
동하/VV,13.0,12.0,25.0,14.0,13.0,0.7030586993351524,Dovish
공모발행/NNG,9.0,9.0,18.0,10.0,10.0,0.6528402208112128,Dovish
연구개발/NNG,41.0,49.0,90.0,42.0,50.0,0.5483857854814189,Dovish
단점/NNG,16.0,20.0,36.0,17.0,21.0,0.528489702561458,Dovish
글로벌/NNG;위험/NNG;회피/NNG,6.0,12.0,18.0,7.0,13.0,0.3515293496675762,Dovish
회원/NNG,19.0,8.0,27.0,20.0,9.0,1.4507560462471398,Hawikish
의혹/NNG,11.0,20.0,31.0,12.0,21.0,0.3730515547492645,Dovish
둔화/NNG;하락/NNG,15.0,7.0,22.0,16.0,8.0,1.305680441622426,Hawikish
의제/NNG,21.0,3.0,24.0,22.0,4.0,3.5906212144616716,Hawikish
경과/NNG,35.0,34.0,69.0,36.0,35.0,0.6714927985486762,Dovish
원자재/NNG;가격/NNG;급등/NNG,16.0,5.0,21.0,17.0,6.0,1.8497139589651033,Hawikish
금리/NNG;상방/NNG;압력/NNG,52.0,24.0,76.0,53.0,25.0,1.3840212681197714,Hawikish
일괄/NNG,26.0,8.0,34.0,27.0,9.0,1.9585206624336389,Hawikish
물가/NNG;전망/NNG;불확실성/NNG,21.0,10.0,31.0,22.0,11.0,1.305680441622426,Hawikish
펀더멘털/NNG;악화/NNG,16.0,24.0,40.0,17.0,25.0,0.44393135015162477,Dovish
무난히/MAG,19.0,19.0,38.0,20.0,20.0,0.6528402208112128,Dovish
지닌/VV,27.0,13.0,40.0,28.0,14.0,1.305680441622426,Hawikish
설정액/NNG,81.0,71.0,152.0,82.0,72.0,0.7435124737016592,Dovish
속도조절/NNG,242.0,117.0,359.0,243.0,118.0,1.3444082513315656,Hawikish
본예산/NNG,20.0,7.0,27.0,21.0,8.0,1.713705579629434,Hawikish
트릴/NNG,12.0,3.0,15.0,13.0,4.0,2.121730717636442,Hawikish
영업점/NNG,15.0,13.0,28.0,16.0,14.0,0.7461031094985291,Dovish
듀레이션/NNG;길/VA,11.0,4.0,15.0,12.0,5.0,1.5668165299469108,Hawikish
현금창출력/NNG;저하/NNG,8.0,7.0,15.0,9.0,8.0,0.7344452484126146,Dovish
호전/NNG,78.0,75.0,153.0,79.0,76.0,0.678610229527445,Dovish
예상/NNG;낮/VA,10.0,15.0,25.0,11.0,16.0,0.44882765180770895,Dovish
연말효과/NNG,13.0,13.0,26.0,14.0,14.0,0.652840220811213,Dovish
미달/NNG,59.0,20.0,79.0,60.0,21.0,1.8652577737463225,Hawikish
셈법/NNG,17.0,6.0,23.0,18.0,7.0,1.6787319963716905,Hawikish
슈어/NNG,16.0,14.0,30.0,17.0,15.0,0.7398855835860414,Dovish
거뒀/VV,20.0,8.0,28.0,21.0,9.0,1.5232938485594971,Hawikish
이자비용/NNG;증가/NNG,26.0,6.0,32.0,27.0,7.0,2.5180979945575355,Hawikish
나무/NNG,10.0,9.0,19.0,11.0,10.0,0.7181242428923342,Dovish
제조업/NNG;위축/NNG,16.0,3.0,19.0,17.0,4.0,2.774570938447655,Hawikish
원루/NNG,14.0,24.0,38.0,15.0,25.0,0.39170413248672775,Dovish
확장국면/NNG,80.0,36.0,116.0,81.0,37.0,1.4291907536677904,Hawikish
치사율/NNG,12.0,12.0,24.0,13.0,13.0,0.652840220811213,Dovish
떠안/VV,10.0,9.0,19.0,11.0,10.0,0.7181242428923342,Dovish
자산효과/NNG,8.0,9.0,17.0,9.0,10.0,0.5875561987300916,Dovish
신설/NNG,60.0,58.0,118.0,61.0,59.0,0.6749703977878642,Dovish
간편/NNG,7.0,10.0,17.0,8.0,11.0,0.4747928878627003,Dovish
레이/NNG,19.0,19.0,38.0,20.0,20.0,0.6528402208112128,Dovish
윤곽/NNG,10.0,9.0,19.0,11.0,10.0,0.7181242428923342,Dovish
임직원/NNG,13.0,13.0,26.0,14.0,14.0,0.652840220811213,Dovish
피드백/NNG,9.0,10.0,19.0,10.0,11.0,0.5934911098283754,Dovish
영업이익/NNG;개선/NNG,11.0,10.0,21.0,12.0,11.0,0.7121893317940504,Dovish
인플레이션/NNG;부담/NNG,26.0,9.0,35.0,27.0,10.0,1.7626685961902748,Hawikish
스타/NNG,36.0,15.0,51.0,37.0,16.0,1.50969301062593,Hawikish
어닝쇼크/NNG,9.0,9.0,18.0,10.0,10.0,0.6528402208112128,Dovish
안내/NNG,17.0,15.0,32.0,18.0,16.0,0.7344452484126146,Dovish
제이/NNG,5.0,15.0,20.0,6.0,16.0,0.24481508280420483,Dovish
외화대출/NNG;감소/NNG,11.0,5.0,16.0,12.0,6.0,1.3056804416224257,Hawikish
전함/VV,8.0,14.0,22.0,9.0,15.0,0.39170413248672775,Dovish
치러진/VV,11.0,5.0,16.0,12.0,6.0,1.3056804416224257,Hawikish
금리/NNG;인상/NNG;지지/NNG,15.0,3.0,18.0,16.0,4.0,2.611360883244852,Hawikish
주류/NNG,51.0,17.0,68.0,52.0,18.0,1.885982860121282,Hawikish
우려/NNG;감소/NNG,9.0,10.0,19.0,10.0,11.0,0.5934911098283754,Dovish
고민거리/NNG,12.0,3.0,15.0,13.0,4.0,2.121730717636442,Hawikish
이익/NNG;창출력/NNG;개선/NNG,16.0,14.0,30.0,17.0,15.0,0.7398855835860414,Dovish
임금/NNG;증가/NNG,13.0,6.0,19.0,14.0,7.0,1.305680441622426,Hawikish
회사채/NNG;신용스프레드/NNG;확대/NNG,12.0,13.0,25.0,13.0,14.0,0.6062087764675549,Dovish
역대/NNG,295.0,147.0,442.0,296.0,148.0,1.3056804416224257,Hawikish
pce/NNG;물가/NNG;상승/NNG,9.0,10.0,19.0,10.0,11.0,0.5934911098283754,Dovish
식료품/NNG,181.0,82.0,263.0,182.0,83.0,1.4315291588872379,Hawikish
관세/NNG,56.0,26.0,82.0,57.0,27.0,1.378218243934783,Hawikish
방망이/NNG,12.0,5.0,17.0,13.0,6.0,1.4144871450909615,Hawikish
용역/NNG,7.0,11.0,18.0,8.0,12.0,0.43522681387414197,Dovish
사회적비용/NNG,8.0,11.0,19.0,9.0,12.0,0.48963016560840966,Dovish
모처럼/MAG,23.0,11.0,34.0,24.0,12.0,1.3056804416224257,Hawikish
수익률표/NNG,13.0,22.0,35.0,14.0,23.0,0.3973810039720427,Dovish
보스턴/NNG,29.0,13.0,42.0,30.0,14.0,1.398943330309742,Hawikish
착수/NNG,36.0,13.0,49.0,37.0,14.0,1.7253634407153486,Hawikish
비전/NNG,35.0,36.0,71.0,36.0,37.0,0.6351958905190179,Dovish
업그레이드/NNG,17.0,19.0,36.0,18.0,20.0,0.5875561987300916,Dovish
건전성/NNG;개선/NNG,13.0,3.0,16.0,14.0,4.0,2.2849407728392457,Hawikish
부서/NNG,15.0,15.0,30.0,16.0,16.0,0.652840220811213,Dovish
가령/MAG,17.0,7.0,24.0,18.0,8.0,1.4688904968252292,Hawikish
챙기/VV,8.0,19.0,27.0,9.0,20.0,0.2937780993650458,Dovish
